city,negative,neutral,positive
Meadow Woods,0.36947563089737884,0.1206197614492992,0.5099046076533219
Oak Hill,0.5038296978284833,0.10342884192759658,0.3927414602439202
Houston,0.3866152023197709,0.22830251487790945,0.3850822828023196
Frisco,0.5113968938882816,0.12061301627576515,0.3679900898359532
White Plains,0.5113968938882816,0.12061301627576515,0.3679900898359532
Farragut,0.5260062381695921,0.14859006888502474,0.3254036929453831
Lubbock,0.5260062381695921,0.14859006888502474,0.3254036929453831
Parole,0.5260062381695921,0.14859006888502474,0.3254036929453831
Port Chester,0.5260062381695921,0.14859006888502474,0.3254036929453831
North Little Rock,0.5260062381695921,0.14859006888502474,0.3254036929453831
Warwick,0.5260062381695921,0.14859006888502474,0.3254036929453831
Addison,0.5260062381695921,0.14859006888502474,0.3254036929453831
Sparks,0.5260062381695921,0.14859006888502474,0.3254036929453831
Euless,0.5260062381695921,0.14859006888502474,0.3254036929453831
Santa Ana,0.5260062381695921,0.14859006888502474,0.3254036929453831
The Valley,0.5260062381695921,0.14859006888502474,0.3254036929453831
Secaucus,0.5260062381695921,0.14859006888502474,0.3254036929453831
American Fork,0.5260062381695921,0.14859006888502474,0.3254036929453831
Savannah,0.5260062381695921,0.14859006888502474,0.3254036929453831
East Massapequa,0.5260062381695921,0.14859006888502474,0.3254036929453831
Rio Linda,0.5260062381695921,0.14859006888502474,0.3254036929453831
Decatur,0.5260062381695921,0.14859006888502474,0.3254036929453831
Xiuying,0.5260062381695921,0.14859006888502474,0.3254036929453831
El Dorado Hills,0.5260062381695921,0.14859006888502474,0.3254036929453831
Funza,0.5260062381695921,0.14859006888502474,0.3254036929453831
Costa Mesa,0.5260062381695921,0.14859006888502474,0.3254036929453831
Annapolis,0.5260062381695921,0.14859006888502474,0.3254036929453831
Brushy Creek,0.5260062381695921,0.14859006888502474,0.3254036929453831
Plainfield,0.5260062381695921,0.14859006888502474,0.3254036929453831
Wayne,0.5260062381695921,0.14859006888502474,0.3254036929453831
Huntington Beach,0.5260062381695921,0.14859006888502474,0.3254036929453831
La Vergne,0.5260062381695921,0.14859006888502474,0.3254036929453831
Bowie,0.5260062381695921,0.14859006888502474,0.3254036929453831
Durham,0.5260062381695921,0.14859006888502474,0.3254036929453831
Boca Raton,0.5260062381695921,0.14859006888502474,0.3254036929453831
Belvedere Park,0.5260062381695921,0.14859006888502474,0.3254036929453831
Long Island City,0.5260062381695921,0.14859006888502474,0.3254036929453831
City of Milford (balance),0.5260062381695921,0.14859006888502474,0.3254036929453831
Key West,0.5260062381695921,0.14859006888502474,0.3254036929453831
Bergeijk,0.5260062381695921,0.14859006888502474,0.3254036929453831
Flagami,0.5260062381695921,0.14859006888502474,0.3254036929453831
Westford,0.5260062381695921,0.14859006888502474,0.3254036929453831
RÃÂ¥sunda,0.5260062381695921,0.14859006888502474,0.3254036929453831
Augusta,0.5260062381695921,0.14859006888502474,0.3254036929453831
Palm Springs,0.5677937310737757,0.1108351836119531,0.32137108531427117
El Segundo,0.5591480387433978,0.1443920397076269,0.29645992154897544
Paradise,0.6187457116548937,0.08658241430452371,0.2946718740405825
Cudahy,0.4528839187671825,0.26035090979279635,0.28676517144002117
